task,sigma_s,sigma_r,wb,wg,wr,error
a,1,0.05,0.0,1.0,0.0,13883810
a,1,0.05,0.0,0.9,0.1,14071419
a,1,0.05,0.0,0.8,0.2,13974803
a,1,0.05,0.0,0.7,0.3,13504591
a,1,0.05,0.0,0.6,0.4,12838184
a,1,0.05,0.0,0.5,0.5,12009652
a,1,0.05,0.0,0.4,0.6,11363556
a,1,0.05,0.0,0.3,0.7,10621674
a,1,0.05,0.0,0.2,0.8,9833504
a,1,0.05,0.0,0.1,0.9,9230690
a,1,0.05,0.0,0.0,1.0,8404582
a,1,0.05,0.1,0.9,0.0,13229703
a,1,0.05,0.1,0.8,0.1,13892511
a,1,0.05,0.1,0.7,0.2,14137378
a,1,0.05,0.1,0.6,0.3,14041918
a,1,0.05,0.1,0.5,0.4,13764881
a,1,0.05,0.1,0.4,0.5,13171168
a,1,0.05,0.1,0.3,0.6,12475933
a,1,0.05,0.1,0.2,0.7,11703353
a,1,0.05,0.1,0.1,0.8,10889550
a,1,0.05,0.1,0.0,0.9,10259089
a,1,0.05,0.2,0.8,0.0,12424529
a,1,0.05,0.2,0.7,0.1,12937366
a,1,0.05,0.2,0.6,0.2,13407644
a,1,0.05,0.2,0.5,0.3,13674835
a,1,0.05,0.2,0.4,0.4,13604283
a,1,0.05,0.2,0.3,0.5,13453308
a,1,0.05,0.2,0.2,0.6,13010878
a,1,0.05,0.2,0.1,0.7,12453102
a,1,0.05,0.2,0.0,0.8,11921394
a,1,0.05,0.3,0.7,0.0,11339718
a,1,0.05,0.3,0.6,0.1,11926351
a,1,0.05,0.3,0.5,0.2,12208995
a,1,0.05,0.3,0.4,0.3,12522907
a,1,0.05,0.3,0.3,0.4,12776179
a,1,0.05,0.3,0.2,0.5,12938822
a,1,0.05,0.3,0.1,0.6,12850048
a,1,0.05,0.3,0.0,0.7,12737994
a,1,0.05,0.4,0.6,0.0,10284081
a,1,0.05,0.4,0.5,0.1,10830613
a,1,0.05,0.4,0.4,0.2,11162269
a,1,0.05,0.4,0.3,0.3,11586121
a,1,0.05,0.4,0.2,0.4,11736550
a,1,0.05,0.4,0.1,0.5,12091292
a,1,0.05,0.4,0.0,0.6,12166157
a,1,0.05,0.5,0.5,0.0,8902584
a,1,0.05,0.5,0.4,0.1,9614451
a,1,0.05,0.5,0.3,0.2,10049804
a,1,0.05,0.5,0.2,0.3,10510617
a,1,0.05,0.5,0.1,0.4,10798349
a,1,0.05,0.5,0.0,0.5,11182561
a,1,0.05,0.6,0.4,0.0,7946677
a,1,0.05,0.6,0.3,0.1,8354694
a,1,0.05,0.6,0.2,0.2,8679420
a,1,0.05,0.6,0.1,0.3,9171973
a,1,0.05,0.6,0.0,0.4,9450022
a,1,0.05,0.7,0.3,0.0,6858893
a,1,0.05,0.7,0.2,0.1,7360600
a,1,0.05,0.7,0.1,0.2,7722392
a,1,0.05,0.7,0.0,0.3,8116058
a,1,0.05,0.8,0.2,0.0,5895691
a,1,0.05,0.8,0.1,0.1,6252932
a,1,0.05,0.8,0.0,0.2,6687975
a,1,0.05,0.9,0.1,0.0,4845825
a,1,0.05,0.9,0.0,0.1,5370726
a,1,0.05,1.0,0.0,0.0,3575013
a,1,0.1,0.0,1.0,0.0,13087885
a,1,0.1,0.0,0.9,0.1,13061267
a,1,0.1,0.0,0.8,0.2,13006155
a,1,0.1,0.0,0.7,0.3,12938527
a,1,0.1,0.0,0.6,0.4,12725181
a,1,0.1,0.0,0.5,0.5,12489511
a,1,0.1,0.0,0.4,0.6,12120615
a,1,0.1,0.0,0.3,0.7,11665025
a,1,0.1,0.0,0.2,0.8,11072943
a,1,0.1,0.0,0.1,0.9,10578799
a,1,0.1,0.0,0.0,1.0,9918342
a,1,0.1,0.1,0.9,0.0,13138099
a,1,0.1,0.1,0.8,0.1,13212568
a,1,0.1,0.1,0.7,0.2,13254332
a,1,0.1,0.1,0.6,0.3,13107021
a,1,0.1,0.1,0.5,0.4,13036831
a,1,0.1,0.1,0.4,0.5,12835666
a,1,0.1,0.1,0.3,0.6,12588634
a,1,0.1,0.1,0.2,0.7,12218544
a,1,0.1,0.1,0.1,0.8,11765426
a,1,0.1,0.1,0.0,0.9,11136288
a,1,0.1,0.2,0.8,0.0,12734811
a,1,0.1,0.2,0.7,0.1,12930989
a,1,0.1,0.2,0.6,0.2,13149540
a,1,0.1,0.2,0.5,0.3,13152698
a,1,0.1,0.2,0.4,0.4,13066263
a,1,0.1,0.2,0.3,0.5,12973000
a,1,0.1,0.2,0.2,0.6,12696581
a,1,0.1,0.2,0.1,0.7,12446422
a,1,0.1,0.2,0.0,0.8,12187638
a,1,0.1,0.3,0.7,0.0,12111422
a,1,0.1,0.3,0.6,0.1,12466279
a,1,0.1,0.3,0.5,0.2,12635055
a,1,0.1,0.3,0.4,0.3,12882940
a,1,0.1,0.3,0.3,0.4,12860764
a,1,0.1,0.3,0.2,0.5,12900803
a,1,0.1,0.3,0.1,0.6,12750024
a,1,0.1,0.3,0.0,0.7,12560244
a,1,0.1,0.4,0.6,0.0,11561619
a,1,0.1,0.4,0.5,0.1,11802426
a,1,0.1,0.4,0.4,0.2,11980477
a,1,0.1,0.4,0.3,0.3,12248430
a,1,0.1,0.4,0.2,0.4,12428623
a,1,0.1,0.4,0.1,0.5,12517736
a,1,0.1,0.4,0.0,0.6,12485729
a,1,0.1,0.5,0.5,0.0,10831265
a,1,0.1,0.5,0.4,0.1,11207050
a,1,0.1,0.5,0.3,0.2,11399058
a,1,0.1,0.5,0.2,0.3,11629188
a,1,0.1,0.5,0.1,0.4,11711017
a,1,0.1,0.5,0.0,0.5,11903491
a,1,0.1,0.6,0.4,0.0,9829877
a,1,0.1,0.6,0.3,0.1,10277044
a,1,0.1,0.6,0.2,0.2,10587524
a,1,0.1,0.6,0.1,0.3,10881273
a,1,0.1,0.6,0.0,0.4,10993517
a,1,0.1,0.7,0.3,0.0,9179956
a,1,0.1,0.7,0.2,0.1,9544265
a,1,0.1,0.7,0.1,0.2,9735960
a,1,0.1,0.7,0.0,0.3,10150712
a,1,0.1,0.8,0.2,0.0,7940271
a,1,0.1,0.8,0.1,0.1,8541364
a,1,0.1,0.8,0.0,0.2,8913402
a,1,0.1,0.9,0.1,0.0,6206211
a,1,0.1,0.9,0.0,0.1,7125465
a,1,0.1,1.0,0.0,0.0,4405849
a,1,0.2,0.0,1.0,0.0,11686557
a,1,0.2,0.0,0.9,0.1,11775604
a,1,0.2,0.0,0.8,0.2,11687411
a,1,0.2,0.0,0.7,0.3,11718618
a,1,0.2,0.0,0.6,0.4,11522560
a,1,0.2,0.0,0.5,0.5,11413171
a,1,0.2,0.0,0.4,0.6,11211894
a,1,0.2,0.0,0.3,0.7,10940793
a,1,0.2,0.0,0.2,0.8,10466799
a,1,0.2,0.0,0.1,0.9,10122569
a,1,0.2,0.0,0.0,1.0,9565725
a,1,0.2,0.1,0.9,0.0,11721306
a,1,0.2,0.1,0.8,0.1,11694642
a,1,0.2,0.1,0.7,0.2,11685568
a,1,0.2,0.1,0.6,0.3,11769892
a,1,0.2,0.1,0.5,0.4,11731998
a,1,0.2,0.1,0.4,0.5,11669044
a,1,0.2,0.1,0.3,0.6,11487451
a,1,0.2,0.1,0.2,0.7,11198189
a,1,0.2,0.1,0.1,0.8,10923132
a,1,0.2,0.1,0.0,0.9,10512734
a,1,0.2,0.2,0.8,0.0,11446202
a,1,0.2,0.2,0.7,0.1,11448786
a,1,0.2,0.2,0.6,0.2,11629364
a,1,0.2,0.2,0.5,0.3,11692067
a,1,0.2,0.2,0.4,0.4,11581972
a,1,0.2,0.2,0.3,0.5,11733364
a,1,0.2,0.2,0.2,0.6,11485509
a,1,0.2,0.2,0.1,0.7,11344531
a,1,0.2,0.2,0.0,0.8,11170295
a,1,0.2,0.3,0.7,0.0,11208534
a,1,0.2,0.3,0.6,0.1,11319730
a,1,0.2,0.3,0.5,0.2,11339202
a,1,0.2,0.3,0.4,0.3,11584853
a,1,0.2,0.3,0.3,0.4,11474870
a,1,0.2,0.3,0.2,0.5,11564585
a,1,0.2,0.3,0.1,0.6,11554907
a,1,0.2,0.3,0.0,0.7,11353315
a,1,0.2,0.4,0.6,0.0,10842630
a,1,0.2,0.4,0.5,0.1,10983653
a,1,0.2,0.4,0.4,0.2,11107161
a,1,0.2,0.4,0.3,0.3,11239665
a,1,0.2,0.4,0.2,0.4,11367871
a,1,0.2,0.4,0.1,0.5,11421155
a,1,0.2,0.4,0.0,0.6,11380983
a,1,0.2,0.5,0.5,0.0,10416319
a,1,0.2,0.5,0.4,0.1,10632691
a,1,0.2,0.5,0.3,0.2,10832875
a,1,0.2,0.5,0.2,0.3,10949437
a,1,0.2,0.5,0.1,0.4,11073760
a,1,0.2,0.5,0.0,0.5,11121055
a,1,0.2,0.6,0.4,0.0,9713096
a,1,0.2,0.6,0.3,0.1,10160927
a,1,0.2,0.6,0.2,0.2,10301512
a,1,0.2,0.6,0.1,0.3,10526484
a,1,0.2,0.6,0.0,0.4,10672189
a,1,0.2,0.7,0.3,0.0,8976628
a,1,0.2,0.7,0.2,0.1,9346781
a,1,0.2,0.7,0.1,0.2,9669016
a,1,0.2,0.7,0.0,0.3,9835094
a,1,0.2,0.8,0.2,0.0,8224958
a,1,0.2,0.8,0.1,0.1,8503795
a,1,0.2,0.8,0.0,0.2,8784601
a,1,0.2,0.9,0.1,0.0,7143622
a,1,0.2,0.9,0.0,0.1,7634979
a,1,0.2,1.0,0.0,0.0,5135949
a,2,0.05,0.0,1.0,0.0,24321874
a,2,0.05,0.0,0.9,0.1,24799247
a,2,0.05,0.0,0.8,0.2,24557708
a,2,0.05,0.0,0.7,0.3,23831935
a,2,0.05,0.0,0.6,0.4,22589146
a,2,0.05,0.0,0.5,0.5,20944465
a,2,0.05,0.0,0.4,0.6,19380797
a,2,0.05,0.0,0.3,0.7,18030060
a,2,0.05,0.0,0.2,0.8,16705838
a,2,0.05,0.0,0.1,0.9,15436879
a,2,0.05,0.0,0.0,1.0,13982008
a,2,0.05,0.1,0.9,0.0,23377573
a,2,0.05,0.1,0.8,0.1,24426027
a,2,0.05,0.1,0.7,0.2,24832539
a,2,0.05,0.1,0.6,0.3,24658972
a,2,0.05,0.1,0.5,0.4,23993975
a,2,0.05,0.1,0.4,0.5,22871979
a,2,0.05,0.1,0.3,0.6,21407061
a,2,0.05,0.1,0.2,0.7,19886835
a,2,0.05,0.1,0.1,0.8,18559048
a,2,0.05,0.1,0.0,0.9,17399313
a,2,0.05,0.2,0.8,0.0,21472345
a,2,0.05,0.2,0.7,0.1,22661495
a,2,0.05,0.2,0.6,0.2,23436478
a,2,0.05,0.2,0.5,0.3,23908887
a,2,0.05,0.2,0.4,0.4,23813040
a,2,0.05,0.2,0.3,0.5,23141615
a,2,0.05,0.2,0.2,0.6,22515361
a,2,0.05,0.2,0.1,0.7,21718871
a,2,0.05,0.2,0.0,0.8,20507223
a,2,0.05,0.3,0.7,0.0,19087838
a,2,0.05,0.3,0.6,0.1,20368635
a,2,0.05,0.3,0.5,0.2,21254041
a,2,0.05,0.3,0.4,0.3,21895119
a,2,0.05,0.3,0.3,0.4,22185398
a,2,0.05,0.3,0.2,0.5,22225661
a,2,0.05,0.3,0.1,0.6,22204594
a,2,0.05,0.3,0.0,0.7,22077689
a,2,0.05,0.4,0.6,0.0,16811676
a,2,0.05,0.4,0.5,0.1,18062214
a,2,0.05,0.4,0.4,0.2,18980695
a,2,0.05,0.4,0.3,0.3,19796356
a,2,0.05,0.4,0.2,0.4,19968184
a,2,0.05,0.4,0.1,0.5,20372262
a,2,0.05,0.4,0.0,0.6,20810832
a,2,0.05,0.5,0.5,0.0,14527086
a,2,0.05,0.5,0.4,0.1,15813927
a,2,0.05,0.5,0.3,0.2,16553318
a,2,0.05,0.5,0.2,0.3,17187745
a,2,0.05,0.5,0.1,0.4,17737177
a,2,0.05,0.5,0.0,0.5,18486987
a,2,0.05,0.6,0.4,0.0,12533950
a,2,0.05,0.6,0.3,0.1,13506817
a,2,0.05,0.6,0.2,0.2,14067322
a,2,0.05,0.6,0.1,0.3,15054515
a,2,0.05,0.6,0.0,0.4,15613664
a,2,0.05,0.7,0.3,0.0,10862443
a,2,0.05,0.7,0.2,0.1,11723057
