task,sigma_s,sigma_r,wb,wg,wr,error
a,1,0.05,0.0,1.0,0.0,7559588
a,1,0.05,0.0,0.9,0.1,7746457
a,1,0.05,0.0,0.8,0.2,7910077
a,1,0.05,0.0,0.7,0.3,7955363
a,1,0.05,0.0,0.6,0.4,7897406
a,1,0.05,0.0,0.5,0.5,7828290
a,1,0.05,0.0,0.4,0.6,7649824
a,1,0.05,0.0,0.3,0.7,7409657
a,1,0.05,0.0,0.2,0.8,7089930
a,1,0.05,0.0,0.1,0.9,6706370
a,1,0.05,0.0,0.0,1.0,6265310
a,1,0.05,0.1,0.9,0.0,7558671
a,1,0.05,0.1,0.8,0.1,7721089
a,1,0.05,0.1,0.7,0.2,7879360
a,1,0.05,0.1,0.6,0.3,7990340
a,1,0.05,0.1,0.5,0.4,7965527
a,1,0.05,0.1,0.4,0.5,7864567
a,1,0.05,0.1,0.3,0.6,7741113
a,1,0.05,0.1,0.2,0.7,7529199
a,1,0.05,0.1,0.1,0.8,7186217
a,1,0.05,0.1,0.0,0.9,6784716
a,1,0.05,0.2,0.8,0.0,7510482
a,1,0.05,0.2,0.7,0.1,7648344
a,1,0.05,0.2,0.6,0.2,7746219
a,1,0.05,0.2,0.5,0.3,7851799
a,1,0.05,0.2,0.4,0.4,7918285
a,1,0.05,0.2,0.3,0.5,7838933
a,1,0.05,0.2,0.2,0.6,7720458
a,1,0.05,0.2,0.1,0.7,7490660
a,1,0.05,0.2,0.0,0.8,7207885
a,1,0.05,0.3,0.7,0.0,7429371
a,1,0.05,0.3,0.6,0.1,7592043
a,1,0.05,0.3,0.5,0.2,7658760
a,1,0.05,0.3,0.4,0.3,7702954
a,1,0.05,0.3,0.3,0.4,7712153
a,1,0.05,0.3,0.2,0.5,7686886
a,1,0.05,0.3,0.1,0.6,7584851
a,1,0.05,0.3,0.0,0.7,7385867
a,1,0.05,0.4,0.6,0.0,7303466
a,1,0.05,0.4,0.5,0.1,7450825
a,1,0.05,0.4,0.4,0.2,7537120
a,1,0.05,0.4,0.3,0.3,7537671
a,1,0.05,0.4,0.2,0.4,7508907
a,1,0.05,0.4,0.1,0.5,7443691
a,1,0.05,0.4,0.0,0.6,7358961
a,1,0.05,0.5,0.5,0.0,7132028
a,1,0.05,0.5,0.4,0.1,7236237
a,1,0.05,0.5,0.3,0.2,7329112
a,1,0.05,0.5,0.2,0.3,7331415
a,1,0.05,0.5,0.1,0.4,7260044
a,1,0.05,0.5,0.0,0.5,7162204
a,1,0.05,0.6,0.4,0.0,6900516
a,1,0.05,0.6,0.3,0.1,7001429
a,1,0.05,0.6,0.2,0.2,7058694
a,1,0.05,0.6,0.1,0.3,7043473
a,1,0.05,0.6,0.0,0.4,6953483
a,1,0.05,0.7,0.3,0.0,6580678
a,1,0.05,0.7,0.2,0.1,6666694
a,1,0.05,0.7,0.1,0.2,6676206
a,1,0.05,0.7,0.0,0.3,6649156
a,1,0.05,0.8,0.2,0.0,6152473
a,1,0.05,0.8,0.1,0.1,6239971
a,1,0.05,0.8,0.0,0.2,6276967
a,1,0.05,0.9,0.1,0.0,5715641
a,1,0.05,0.9,0.0,0.1,5757639
a,1,0.05,1.0,0.0,0.0,5212164
a,1,0.1,0.0,1.0,0.0,5854630
a,1,0.1,0.0,0.9,0.1,5980051
a,1,0.1,0.0,0.8,0.2,6079935
a,1,0.1,0.0,0.7,0.3,6142601
a,1,0.1,0.0,0.6,0.4,6167512
a,1,0.1,0.0,0.5,0.5,6158125
a,1,0.1,0.0,0.4,0.6,6095175
a,1,0.1,0.0,0.3,0.7,6028115
a,1,0.1,0.0,0.2,0.8,5928621
a,1,0.1,0.0,0.1,0.9,5752530
a,1,0.1,0.0,0.0,1.0,5479065
a,1,0.1,0.1,0.9,0.0,5855635
a,1,0.1,0.1,0.8,0.1,5977805
a,1,0.1,0.1,0.7,0.2,6079093
a,1,0.1,0.1,0.6,0.3,6159584
a,1,0.1,0.1,0.5,0.4,6209590
a,1,0.1,0.1,0.4,0.5,6204758
a,1,0.1,0.1,0.3,0.6,6165273
a,1,0.1,0.1,0.2,0.7,6091944
a,1,0.1,0.1,0.1,0.8,5992013
a,1,0.1,0.1,0.0,0.9,5847446
a,1,0.1,0.2,0.8,0.0,5779658
a,1,0.1,0.2,0.7,0.1,5925380
a,1,0.1,0.2,0.6,0.2,6046993
a,1,0.1,0.2,0.5,0.3,6133973
a,1,0.1,0.2,0.4,0.4,6197366
a,1,0.1,0.2,0.3,0.5,6206748
a,1,0.1,0.2,0.2,0.6,6195062
a,1,0.1,0.2,0.1,0.7,6135608
a,1,0.1,0.2,0.0,0.8,6035655
a,1,0.1,0.3,0.7,0.0,5673586
a,1,0.1,0.3,0.6,0.1,5827140
a,1,0.1,0.3,0.5,0.2,5958259
a,1,0.1,0.3,0.4,0.3,6063176
a,1,0.1,0.3,0.3,0.4,6131971
a,1,0.1,0.3,0.2,0.5,6167521
a,1,0.1,0.3,0.1,0.6,6162030
a,1,0.1,0.3,0.0,0.7,6119159
a,1,0.1,0.4,0.6,0.0,5548248
a,1,0.1,0.4,0.5,0.1,5714998
a,1,0.1,0.4,0.4,0.2,5862461
a,1,0.1,0.4,0.3,0.3,5967602
a,1,0.1,0.4,0.2,0.4,6039606
a,1,0.1,0.4,0.1,0.5,6087129
a,1,0.1,0.4,0.0,0.6,6095410
a,1,0.1,0.5,0.5,0.0,5413230
a,1,0.1,0.5,0.4,0.1,5584183
a,1,0.1,0.5,0.3,0.2,5723321
a,1,0.1,0.5,0.2,0.3,5844065
a,1,0.1,0.5,0.1,0.4,5922275
a,1,0.1,0.5,0.0,0.5,5978355
a,1,0.1,0.6,0.4,0.0,5237676
a,1,0.1,0.6,0.3,0.1,5427312
a,1,0.1,0.6,0.2,0.2,5592738
a,1,0.1,0.6,0.1,0.3,5713890
a,1,0.1,0.6,0.0,0.4,5779289
a,1,0.1,0.7,0.3,0.0,5043315
a,1,0.1,0.7,0.2,0.1,5240313
a,1,0.1,0.7,0.1,0.2,5394553
a,1,0.1,0.7,0.0,0.3,5519472
a,1,0.1,0.8,0.2,0.0,4793207
a,1,0.1,0.8,0.1,0.1,4995522
a,1,0.1,0.8,0.0,0.2,5158443
a,1,0.1,0.9,0.1,0.0,4495531
a,1,0.1,0.9,0.0,0.1,4716029
a,1,0.1,1.0,0.0,0.0,4105553
a,1,0.2,0.0,1.0,0.0,5585333
a,1,0.2,0.0,0.9,0.1,5656545
a,1,0.2,0.0,0.8,0.2,5711087
a,1,0.2,0.0,0.7,0.3,5743594
a,1,0.2,0.0,0.6,0.4,5751920
a,1,0.2,0.0,0.5,0.5,5745575
a,1,0.2,0.0,0.4,0.6,5701201
a,1,0.2,0.0,0.3,0.7,5665602
a,1,0.2,0.0,0.2,0.8,5601261
a,1,0.2,0.0,0.1,0.9,5495666
a,1,0.2,0.0,0.0,1.0,5365894
a,1,0.2,0.1,0.9,0.0,5594351
a,1,0.2,0.1,0.8,0.1,5680164
a,1,0.2,0.1,0.7,0.2,5746660
a,1,0.2,0.1,0.6,0.3,5788653
a,1,0.2,0.1,0.5,0.4,5799165
a,1,0.2,0.1,0.4,0.5,5796448
a,1,0.2,0.1,0.3,0.6,5766095
a,1,0.2,0.1,0.2,0.7,5732178
a,1,0.2,0.1,0.1,0.8,5682380
a,1,0.2,0.1,0.0,0.9,5601941
a,1,0.2,0.2,0.8,0.0,5589632
a,1,0.2,0.2,0.7,0.1,5682967
a,1,0.2,0.2,0.6,0.2,5756933
a,1,0.2,0.2,0.5,0.3,5804034
a,1,0.2,0.2,0.4,0.4,5829329
a,1,0.2,0.2,0.3,0.5,5830329
a,1,0.2,0.2,0.2,0.6,5812543
a,1,0.2,0.2,0.1,0.7,5779755
a,1,0.2,0.2,0.0,0.8,5731642
a,1,0.2,0.3,0.7,0.0,5545186
a,1,0.2,0.3,0.6,0.1,5662999
a,1,0.2,0.3,0.5,0.2,5727551
a,1,0.2,0.3,0.4,0.3,5788928
a,1,0.2,0.3,0.3,0.4,5827902
a,1,0.2,0.3,0.2,0.5,5837952
a,1,0.2,0.3,0.1,0.6,5823408
a,1,0.2,0.3,0.0,0.7,5792941
a,1,0.2,0.4,0.6,0.0,5490557
a,1,0.2,0.4,0.5,0.1,5600007
a,1,0.2,0.4,0.4,0.2,5696677
a,1,0.2,0.4,0.3,0.3,5751519
a,1,0.2,0.4,0.2,0.4,5792507
a,1,0.2,0.4,0.1,0.5,5810225
a,1,0.2,0.4,0.0,0.6,5802381
a,1,0.2,0.5,0.5,0.0,5405784
a,1,0.2,0.5,0.4,0.1,5522645
a,1,0.2,0.5,0.3,0.2,5614869
a,1,0.2,0.5,0.2,0.3,5691721
a,1,0.2,0.5,0.1,0.4,5730495
a,1,0.2,0.5,0.0,0.5,5760972
a,1,0.2,0.6,0.4,0.0,5295006
a,1,0.2,0.6,0.3,0.1,5423582
a,1,0.2,0.6,0.2,0.2,5523121
a,1,0.2,0.6,0.1,0.3,5605058
a,1,0.2,0.6,0.0,0.4,5655926
a,1,0.2,0.7,0.3,0.0,5151319
