task,sigma_s,sigma_r,wb,wg,wr,error
a,1,0.05,0.0,1.0,0.0,3005753
a,1,0.05,0.0,0.9,0.1,3220552
a,1,0.05,0.0,0.8,0.2,3420954
a,1,0.05,0.0,0.7,0.3,3555487
a,1,0.05,0.0,0.6,0.4,3610361
a,1,0.05,0.0,0.5,0.5,3541698
a,1,0.05,0.0,0.4,0.6,3371286
a,1,0.05,0.0,0.3,0.7,3145506
a,1,0.05,0.0,0.2,0.8,2857240
a,1,0.05,0.0,0.1,0.9,2520104
a,1,0.05,0.0,0.0,1.0,2211156
a,1,0.05,0.1,0.9,0.0,3116490
a,1,0.05,0.1,0.8,0.1,3319574
a,1,0.05,0.1,0.7,0.2,3502006
a,1,0.05,0.1,0.6,0.3,3602689
a,1,0.05,0.1,0.5,0.4,3619330
a,1,0.05,0.1,0.4,0.5,3496855
a,1,0.05,0.1,0.3,0.6,3294338
a,1,0.05,0.1,0.2,0.7,3041952
a,1,0.05,0.1,0.1,0.8,2734264
a,1,0.05,0.1,0.0,0.9,2434246
a,1,0.05,0.2,0.8,0.0,3139620
a,1,0.05,0.2,0.7,0.1,3318492
a,1,0.05,0.2,0.6,0.2,3428987
a,1,0.05,0.2,0.5,0.3,3448528
a,1,0.05,0.2,0.4,0.4,3418129
a,1,0.05,0.2,0.3,0.5,3308225
a,1,0.05,0.2,0.2,0.6,3114079
a,1,0.05,0.2,0.1,0.7,2899513
a,1,0.05,0.2,0.0,0.8,2617282
a,1,0.05,0.3,0.7,0.0,3015985
a,1,0.05,0.3,0.6,0.1,3144624
a,1,0.05,0.3,0.5,0.2,3202320
a,1,0.05,0.3,0.4,0.3,3215329
a,1,0.05,0.3,0.3,0.4,3173627
a,1,0.05,0.3,0.2,0.5,3073400
a,1,0.05,0.3,0.1,0.6,2882340
a,1,0.05,0.3,0.0,0.7,2710722
a,1,0.05,0.4,0.6,0.0,2820462
a,1,0.05,0.4,0.5,0.1,2929272
a,1,0.05,0.4,0.4,0.2,2960278
a,1,0.05,0.4,0.3,0.3,2978544
a,1,0.05,0.4,0.2,0.4,2928761
a,1,0.05,0.4,0.1,0.5,2840765
a,1,0.05,0.4,0.0,0.6,2676989
a,1,0.05,0.5,0.5,0.0,2626241
a,1,0.05,0.5,0.4,0.1,2695394
a,1,0.05,0.5,0.3,0.2,2732539
a,1,0.05,0.5,0.2,0.3,2739476
a,1,0.05,0.5,0.1,0.4,2698041
a,1,0.05,0.5,0.0,0.5,2591640
a,1,0.05,0.6,0.4,0.0,2434480
a,1,0.05,0.6,0.3,0.1,2488477
a,1,0.05,0.6,0.2,0.2,2518434
a,1,0.05,0.6,0.1,0.3,2526501
a,1,0.05,0.6,0.0,0.4,2468824
a,1,0.05,0.7,0.3,0.0,2258124
a,1,0.05,0.7,0.2,0.1,2320711
a,1,0.05,0.7,0.1,0.2,2338943
a,1,0.05,0.7,0.0,0.3,2310216
